(R)-alpha-methylhistamine | Chemical
[3H]-5-azadeoxycytidine | Chemical
[3H]-dihydroergocryptine | Chemical
[3H]-l-arginine | Chemical
[3H]-naloxone | Chemical
1-(2-methoxyphenyl)-4-[4-(2-phthalimido)butyl]piperazine | Chemical
1-[2-(3,4-dichlorophenyl)ethyl]-4-methylpiperazine | Chemical
1-bromo-1-chloro-2,2,2-trifluoroethane | Chemical
1-chloro-1,2,2,2-tetrafluoroethane | Chemical
1,1-dichloro-2,2,2-trifluoroethane | Chemical
1,2-dimethylhydrazine | Chemical
1,2-DMH | Chemical
1,3-bis-(2-chloroethyl)-1-nitrosourea | Chemical
2-acetylaminofluorene | Chemical
2-chloroprocaine-CE | Chemical
2-methoxy-4-amino-5-chlorobenzoic acid 2-(diethylamino)ethyl ester | Chemical
2-methyl-6-(phenylethynyl)pyridine | Chemical
2PAM | Chemical
3 alpha-tropyl 2-(p-bromophenyl)propionate | Chemical
3-aminopropyl-diethoxy-methyl-phosphinic acid | Chemical
3-benzenesulfonyl-7-(4-methyl-piperazin-1-yl)1H-indole | Chemical
3-hydroxybutyrate | Chemical
3-mercaptopropionic acid | Chemical
3-methyladenine | Chemical
3,4-dihydroxyphenylacetic acid | Chemical
3,4-methylenedioxymethamphetamine | Chemical
3alpha-hydroxy-3beta-methyl-5alpha-pregnan-20-one | Chemical
3alpha-hydroxy-5alpha-pregnan-20-one | Chemical
3alpha-hydroxy-5beta-pregnan-20-one | Chemical
3alpha-tropyl 2-(p-bromophenyl)propionate | Chemical
3H-TBOB | Chemical
3MA | Chemical
3R-1-[2-(3,4-dichlorophenyl)ethyl]-1,4-diazabicyclo[4.3.0]nonane | Chemical
3S-1-[2-(3,4-dichlorophenyl)ethyl]-1,4-diazabicyclo[4.3.0]nonane | Chemical
3SR,4aRS,6SR,8aRS-6-[phosphonomethyl]decahydr oisoquinoline-3- carboxylic acid | Chemical
4-DAMP | Chemical
4-diphenylacetoxy-N-methylpiperidine | Chemical
4'-0-tetrahydropyranyladriamycin | Chemical
5 - [2- ( 4- ( 3 - fluorobenzylidene) piperidin-1-yl) ethyl] - 4 -(4-fluorophenyl) thiazole-2-carboxamide | Chemical
5-azacytidine | Chemical
5-AzC | Chemical
5-fluorouracil | Chemical
5-FU | Chemical
5-HT | Chemical
5-HTP | Chemical
5-hydroxytriptamine | Chemical
5-hydroxytryptamin1A | Chemical
5-hydroxytryptamine | Chemical
5-hydroxytryptamine4 | Chemical
5-hydroxytryptophan | Chemical
5,5-dimethyl-3-(3-fluorophenyl)-4-(4-methylsulphonyl) phenyl-2(5H)-furanon | Chemical
6-hydroxydopamine | Chemical
6-OHDA | Chemical
8-[(4-amino-l-methylbutyl)amino]- 5-(l-hexyloxy)-6-methoxy-4-methylquinoline | Chemical
8-aminoquinoline | Chemical
9-[[2-methoxy-4-[(methylsulphonyl)amino]phenyl]amino] -N,5-dimethyl- 4-acridinecarboxamide | Chemical
11-deoxycortisol | Chemical
17beta-estradiol	Chemical | D004958
17beta-estradiol | Chemical
99mTc-glucarate | Chemical
a decrease in MAP, HR, SV, and CO	Disease | D007022|D002303
a loss of visual acuity | Disease
a reduced locomotor activity | Disease
AAP | Chemical
AAPH | Chemical
abdominal pain | Disease
abnormal audiograms with deficits mostly in the high frequency range of 4,000 to 8,000 Hz | Disease
Abnormal involuntary movements | Disease
abnormal liver function | Disease
abnormal movements | Disease
abnormalities of liver function | Disease
absence epilepsy | Disease
absence seizure | Disease
absence seizures | Disease
absent kidneys and ureters | Disease
ACC-9089 | Chemical
ACE inhibitor | Chemical
ACE inhibitors | Chemical
ACEi | Chemical
acetaldehyde | Chemical
acetaminophen | Chemical
acetazolamide | Chemical
aceto-acetate | Chemical
acetylcholine | Chemical
acetylsalicylic acid | Chemical
ACh | Chemical
acidosis | Disease
acitretin | Chemical
acne | Disease
acriflavine | Chemical
acrodermatitis enteropathica | Disease
acromegalic | Disease
acromegaly | Disease
Actomycin-D | Chemical
acute alcohol intoxication | Disease
acute cardiovascular failure | Disease
acute cholecystitis | Disease
acute coronary insufficiency | Disease
acute hepatitis | Disease
acute hepatitis-like illness | Disease
acute hepatitis-like syndrome | Disease
acute leukemia | Disease
acute liver failure | Disease
acute lymphoblastic leucemia | Disease
acute lymphoblastic leukemia | Disease
acute myocardial infarction | Disease
acute nonlymphocytic leukemia | Disease
acute pain | Disease
Acute psychosis | Disease
acute renal dysfunction | Disease
acute renal failure | Disease
acute renal failure and hepatic failure	Disease | D058186|D017114
acute stroke | Disease
acute T-lymphocytic leukemia | Disease
acute tubular necrosis | Disease
adefovir | Chemical
adenocarcinoma | Disease
adenocarcinoma of the liver	Disease | D000230|D008113
adenohypophyseal tumors | Disease
adenoma | Disease
adenosine | Chemical
ADHD | Disease
ADP | Chemical
ADR | Chemical
adrenaline | Chemical
